DrugID;TradeNmR;InnR;PackNx;DosageR;PackQn;Pack;DrugFmNmRS;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID;Remark;SrcOrg;EAN;MaxMnfPrice;ExpiTermR;ClNm;MnfNm;PckNm;RegNr;RegDate
36525;Фороза;Алендроновая кислота;811318;70 мг;4;4 шт., упаковка контурная ячейковая , пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;3838957016174;454.340000;3 года;Лек д.д.;Лек д.д.;Лек д.д.;ЛСР-007906/08;17.10.2008 00:00:00
36527;Гриппферон;Интерферон альфа-2;602392;10 тыс.МЕ/мл;1;5 мл, флакон-капельница полимерная;капли назальные;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4606207000049;156.600000;2 года;Фирн М ЗАО;Фирн М ЗАО;Фирн М ЗАО;Р N000089/01;10.02.2006 00:00:00
36575;Аскорбиновая кислота;Аскорбиновая кислота;835798;50 мг/мл;10;2 мл, ампула  (5), упаковка контурная пластиковая (поддон) (2), пачка картонная;раствор для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605453001374;25.450000;;Эском НПК ОАО [г.Ставрополь];Эском НПК ОАО [г.Ставрополь];Эском НПК ОАО [г.Ставрополь];ЛСР-005603/09;13.07.2009 00:00:00
36590;Кальция глюконата раствор для инъекций 10%;Кальция глюконат;16267;100 мг/мл;10;10 мл, ампула  (10);раствор для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602824001650;169.650000;2 года;~;Дальхимфарм ОАО;Дальхимфарм ОАО;70/626/7;28.09.1970 00:00:00
36646;Бисакодил;Бисакодил;675090;5 мг;30;30 шт., упаковка контурная ячейковая , пачка картонная;таблетка покрытая кишечнорастворимой оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;3800712631915;27.870000;5 лет;Балканфарма - Дупница АД;Балканфарма - Дупница АД;Балканфарма - Дупница АД;П N013214/01;29.12.2006 00:00:00
36671;Эрмиталь;Панкреатин;818759;22.5+25+1.25 тыс.ЕД.Евр.Ф.;20;20 шт., флакон темного стекла, пачка картонная;капсула кишечнорастворимая;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4260142420050;255.000000;3 года;Нордмарк Арцнаймиттель ГмбХ & Ко.КГ;Нордмарк Арцнаймиттель ГмбХ & Ко.КГ;Нордмарк Арцнаймиттель ГмбХ & Ко.КГ;ЛСР-002032/08;21.03.2008 00:00:00
36674;Цефурабол;Цефуроксим;623466;1.5 г;1;флакон , пачка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603953000767;204.350000;2 года;Аболмед ООО [г.Москва];Аболмед ООО [г.Москва];Аболмед ООО [г.Москва];Р N000129/01;04.08.2006 00:00:00
36696;Салициловой кислоты раствор спиртовой;Салициловая кислота;626529;2%;1;40 мл, флакон темного стекла;раствор для наружного применения [спиртовой];;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603905003518;16.440000;3 года;~;Тульская фармацевтическая фабрика ООО;Тульская фармацевтическая фабрика ООО;71/566/3;06.08.1971 00:00:00
36714;Изониазид;Изониазид;552596;300 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4810201001210;26.470000;5 лет;Борисовский завод медицинских препаратов РУП;Борисовский завод медицинских препаратов РУП;Борисовский завод медицинских препаратов РУП;П N010980/02;14.10.2005 00:00:00
36716;Цефотаксим Лек;Цефотаксим;575453;1 г;1;флакон , пачка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;3838957902842;60.340000;2 года;Лек д.д.;Лек д.д.;Лек д.д.;П N011391/01;03.02.2006 00:00:00
36740;Цефепим;Цефепим;664278;1 г;1;флакон , пачка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602884011309;237.680000;2 года;Биосинтез ОАО;Биосинтез ОАО;Биосинтез ОАО;ЛС-002441;29.12.2006 00:00:00
36744;Тамоксифен;Тамоксифен;534970;10 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;8906000571071;51.410000;3 года;Шрея Лайф Сайенсиз Пвт.Лтд;Шрея Лайф Сайенсиз Пвт.Лтд;Шрея Лайф Сайенсиз Пвт.Лтд;ЛС-000962;25.11.2005 00:00:00
36765;Кетанов;Кеторолак;906050;10 мг;100;10 шт., упаковка контурная ячейковая [ПВХ/полиамид/фольга алюминиевая]  (10), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601764005131;181.940000;3 года;Ранбакси Лабораториз Лтд;Ранбакси Лабораториз Лтд;Ранбакси Лабораториз Лтд;П N012170/01;26.05.2006 00:00:00
36794;Ломекомб;Изониазид+Ломефлоксацин+Пиразинамид+Этамбутол+[Пиридоксин];889463;135+200+370+325+10 мг;500;500 шт., пакет полиэтиленовый, контейнер полиэтиленовый;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969004762;11252.430000;2 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Р N003651/01;14.07.2009 00:00:00
36804;Ацекардол;Ацетилсалициловая кислота;651489;50 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая кишечнорастворимой оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565011338;14.500000;3 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;ЛС-000680;30.12.2005 00:00:00
36807;Фентанил;Фентанил;855563;50 мкг/мл;500;2 мл, ампула  (5);раствор для инъекций;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603730000775;5909.760000;2 года;Государственный завод медицинских препаратов ФГУП;Государственный завод медицинских препаратов ФГУП;Государственный завод медицинских препаратов ФГУП;Р N002020/01;10.12.2008 00:00:00
36824;Лозап;Лозартан;896683;12.5 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;8584005704306;291.200000;2 года;Зентива а.с.;Зентива а.с.;Зентива а.с.;П N015897/01;30.11.2009 00:00:00
36825;Натрия хлорид;Натрия хлорид;558230;0.9%;1;400 мл, бутылка для крови и инфузионных растворов;раствор для инфузий;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602824000691;27.100000;1 год;Дальхимфарм ОАО;Дальхимфарм ОАО;Дальхимфарм ОАО;ЛС-000247;27.01.2010 00:00:00
36830;Ливолюк-ПБ;Лактулоза;765527;667 мг/мл;1;450 мл /комплект: стаканчик дозировочный/, флакон темного стекла;сироп;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;8901168573066;294.280000;4 года;Панацея Биотек Лтд;Панацея Биотек Лтд;Панацея Биотек Лтд;ЛСР-010037/09;09.12.2009 00:00:00
36831;Фенотропил;N-карбамоилметил-4-фенил-2-пирролидон;777550;100 мг;10;10 шт., упаковка ячейковая контурная, пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602193006768;359.230000;;Валента Фармацевтика Публичное акционерное общество (ПАО«Валента Фарм»);Валента Фармацевтика Публичное акционерное общество (ПАО«Валента Фарм»);Валента Фармацевтика Публичное акционерное общество (ПАО«Валента Фарм»);Р N002784/01;
36835;Дианил ПД4 с глюкозой;Растворы для перитонеального диализа;720805;~;5;2000 мл, 2 л, контейнер Твинбэг пластиковый спаренный;раствор для перитонеального диализа [с декстрозой 13.6 г/л];;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;5413760298818;1962.770000;2 года;Бакстер Хелскэа СА;Бакстер Хелскэа СА;Бакстер Хелскэа СА;П N013842/01;15.07.2008 00:00:00
36837;НовоМикс 30 Пенфилл;Инсулин аспарт двухфазный;740148;100 ЕД/мл;5;3 мл, картридж  (5);суспензия для подкожного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602206000899;1099.750000;2 года после вскрытия - 4 нед (при температуре не выше 30 град., не в холодильнике);Ново Нордиск АС;Ново Нордиск АС;Ново Нордиск АС;П N015291/01;08.10.2008 00:00:00
36844;Кальция глюконат;Кальция глюконат;602748;500 мг;10;10 шт., упаковка безъячейковая контурная ;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602884000846;2.770000;;Биосинтез ОАО;Биосинтез ОАО;Биосинтез ОАО;ЛС-002729;29.12.2006 00:00:00
36845;Роцефин;Цефтриаксон;741404;1 г;1;флакон  /комплект: растворитель - вода для инъекций (ампула) 10 мл/, пачка картонная;порошок для приготовления раствора для внутривенного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601907001211;398.840000;3 года;Ф.Хоффманн-Ля Рош Лтд;Ф.Хоффманн-Ля Рош Лтд;Ф.Хоффманн-Ля Рош Лтд;П N013244/02;08.12.2006 00:00:00
36853;Цефтазидим;Цефтазидим;781150;1 г;1;флакон , пачка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;8901086030047;59.410000;2 года;Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд);Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд);Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд);П N014387/01;17.03.2009 00:00:00
36859;Изониазид;Изониазид;708664;300 мг;1000;1000 шт., пакет полиэтиленовый, банка пластиковая;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605691001242;435.140000;5 лет;Розфарм ООО;Розфарм ООО;Розфарм ООО;Р N001357/01;21.10.2008 00:00:00
36885;Левомицетин;Хлорамфеникол;561032;500 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602509009940;35.320000;5 лет;Биохимик ОАО;Биохимик ОАО;Биохимик ОАО;ЛС-002516;29.12.2006 00:00:00
36895;Сальгим;Сальбутамол;577976;0.25 мг/доза;1;200 доз, ингалятор дозирующий Циклохалер, пакет полиэтиленовый;порошок для ингаляций дозированный;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603466000124;87.610000;3 года;Пульмомед ЗАО;Пульмомед ЗАО;Пульмомед ЗАО;ЛСР-001933/07;06.08.2007 00:00:00
36912;Винпоцетин;Винпоцетин;545593;5 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603179003009;49.450000;2 года;Уралбиофарм ОАО;Уралбиофарм ОАО;Уралбиофарм ОАО;ЛС-000801;30.09.2005 00:00:00
36925;Дротаверина гидрохлорида таблетки 0.04 г;Дротаверин;384502;40 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603679001123;6.770000;3 года;~;Алтайвитамины ЗАО;Алтайвитамины ЗАО;96/283/9;09.07.1996 00:00:00
36997;Липоплюс 20;Жировые эмульсии для парентерального питания;696987;20%;10;250 мл, бутылка (10);эмульсия для инфузий;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4030539068901;3384.500000;2 года;Б.Браун Мельзунген АГ;Б.Браун Мельзунген АГ;Б.Браун Мельзунген АГ;ЛС-002604;29.12.2006 00:00:00
37007;Криксиван;Индинавир;721207;200 мг;180;180 шт., флакон полиэтиленовый, пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;8711141398223;1919.330000;3 года;Мерк Шарп и Доум БВ;Мерк & Ко.Инк;Мерк Шарп и Доум БВ;П N011421/02;23.07.2009 00:00:00
37018;Декстран 40;Декстран [ср.мол.масса 35000-45000];632524;10%;10;500 мл, бутылка для крови и инфузионных растворов (10);раствор для инфузий;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607042640711;1480.240000;2 года;ЮграФарм ОАО;ЮграФарм ОАО;ЮграФарм ОАО;ЛС-000496;15.07.2005 00:00:00
37026;Калия перманганат;Калия перманганат;758668;~;1;3 г, флакон темного стекла;порошок для приготовления раствора для наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605681001740;19.980000;5 лет;~;Фармацевтическая фабрика ОАО [г.Копейск];Фармацевтическая фабрика ОАО [г.Копейск];64/228/94;30.04.1964 00:00:00
37028;Новокаин;Прокаин;855710;0.25%;15;400 мл, бутылка для крови и инфузионных растворов (15);раствор для инъекций;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602509005973;331.450000;3 года;Биохимик ОАО;Биохимик ОАО;Биохимик ОАО;Р N001206/01-2002;04.12.2008 00:00:00
37033;Перекись водорода;Водорода пероксид;892324;3%;1;25 мл, флакон темного стекла;раствор для местного и наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602822000839;4.710000;2 года;Пермфармация ОАО;Пермфармация ОАО;Пермфармация ОАО;ЛСР-008060/09;14.10.2009 00:00:00
37040;Дротаверин;Дротаверин;651850;40 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602824015497;7.400000;3 года;Дальхимфарм ОАО;Дальхимфарм ОАО;Дальхимфарм ОАО;ЛС-001895;11.08.2006 00:00:00
37042;Амикацин;Амикацин;842387;250 мг/мл;10;2 мл, ампула  (5);раствор для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565016401;497.940000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;ЛСР-002156/09;20.03.2009 00:00:00
37045;Этиловый спирт;Этанол;893663;70%;1;100 мл, флакон темного стекла;раствор для наружного применения и приготовления лекарственных форм;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605693001288;29.270000;2 года;Фармацевтическая фабрика Красноярское краевое ГУПП;Фармацевтическая фабрика Красноярское краевое ГУПП;Фармацевтическая фабрика Красноярское краевое ГУПП;ЛСР-010525/09;24.12.2009 00:00:00
37046;Натрия тиосульфат;Натрия тиосульфат;781128;300 мг/мл;20;10 мл, ампула  (10);раствор для внутривенного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605453001664;137.380000;5 лет;Эском НПК ОАО [г.Ставрополь];Эском НПК ОАО [г.Ставрополь];Эском НПК ОАО [г.Ставрополь];ЛСР-005204/09;29.06.2009 00:00:00
37053;Ридонекс;Рисперидон;762026;2 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;5997001362211;542.620000;2 года;Гедеон Рихтер ОАО;Гедеон Рихтер ОАО;Гедеон Рихтер ОАО;ЛСР-007744/09;02.10.2009 00:00:00
37064;Супрастин;Хлоропирамин;766339;25 мг;20;10 шт., упаковка ячейковая контурная (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;5995327275147;97.260000;;ЭГИС Фармацевтический завод ЗАО;ЭГИС Фармацевтический завод ЗАО;ЭГИС Фармацевтический завод ЗАО;П N012426/01;29.12.2006 00:00:00
37082;Ринорус;Ксилометазолин;647199;0.05%;1;5 мл, флакон-капельница полиэтиленовый ;капли назальные;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602565013264;10.010000;2 года;Синтез ОАО;Синтез ОАО;Синтез ОАО;ЛС-002408;22.12.2006 00:00:00
37105;Салициловая кислота;Салициловая кислота;673159;2%;1;40 мл, флакон темного стекла;раствор для наружного применения [спиртовой];;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607041270438;15.700000;3 года;Аптека Фармикон ООО;Аптека Фармикон ООО;Аптека Фармикон ООО;ЛСР-006942/08;29.08.2008 00:00:00
37125;Оксациллин;Оксациллин;859383;500 мг;50;флакон 10 мл (50), коробка картонная;порошок для приготовления раствора для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602509000114;248.940000;2 года;Биохимик ОАО;Биохимик ОАО;Биохимик ОАО;Р N002184/01-2003;25.12.2008 00:00:00
37136;Бензилбензоат;Бензилбензоат;533934;10%;1;25 г, туба алюминиевая;мазь для наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605059001822;7.910000;3 года;Фармацевтическая фабрика Санкт-Петербурга ОАО;Фармацевтическая фабрика Санкт-Петербурга ОАО;Фармацевтическая фабрика Санкт-Петербурга ОАО;ЛСР-001575/08;14.03.2008 00:00:00
37139;Амитриптилин;Амитриптилин;732629;10 мг;50;10 шт., упаковка ячейковая контурная (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607011631467;19.130000;;АЛСИ Фарма ЗАО [г.Москва];АЛСИ Фарма ЗАО [г.Москва];АЛСИ Фарма ЗАО [г.Москва];ЛС-001144;19.01.2006 00:00:00
37140;Метрогил;Метронидазол;812847;400 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;8901086130068;12.010000;5 лет;Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд);Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд);Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд);П N011666/03;03.06.2009 00:00:00
37143;Аскорбиновая кислота;Аскорбиновая кислота;882477;50 мг/мл;10;1 мл, ампула  (5);раствор для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4600828004295;25.300000;1 год;Мосхимфармпрепараты им.Н.А.Семашко ОАО;Мосхимфармпрепараты им.Н.А.Семашко ОАО;Мосхимфармпрепараты им.Н.А.Семашко ОАО;Р N003312/01;29.05.2009 00:00:00
37146;Линамид;Пиразинамид;495780;500 мг;100;10 шт., упаковка контурная безъячейковая (10), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;8901114128104;130.820000;4 года;Лайка Лэбс Лтд;Лайка Лэбс Лтд;Лайка Лэбс Лтд;П N016308/01;17.06.2005 00:00:00
37158;Элзепам;Бромдигидрохлорфенилбензодиазепин;736859;1 мг;50;10 шт., упаковка ячейковая контурная (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4670008160066;90.300000;;ООО Эллара;Государственный завод медицинских препаратов ФГУП;Эллара МЦ ООО;ЛП-000853;
37174;Таксол;Паклитаксел;637600;6 мг/мл;1;5 мл, флакон ;концентрат для приготовления раствора для инфузий;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602505000149;2919.610000;2 года;Бристол-Майерс Сквибб СрЛ;Бристол-Майерс Сквибб СрЛ;Бристол-Майерс Сквибб СрЛ;П N013329/01;22.10.2007 00:00:00
37191;Лоратадин;Лоратадин;778426;10 мг;10;10 шт., упаковка контурная ячейковая , пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607018260141;36.120000;3 года;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;Р N001956/01;12.12.2008 00:00:00
37197;Кальция глюконат;Кальция глюконат;595383;500 мг;10;10 шт., упаковка контурная ячейковая , пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603988004044;11.050000;5 лет;Обновление ПФК ЗАО;Обновление ПФК ЗАО;Обновление ПФК ЗАО;ЛС-000651;19.08.2005 00:00:00
37217;Офлоксацин;Офлоксацин;505319;200 мг;10;10 шт., упаковка контурная ячейковая , пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601669001719;27.000000;2 года;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;Фармстандарт-Лексредства ОАО;ЛС-001932;25.08.2006 00:00:00
37230;Бензилбензоат;Бензилбензоат;557342;20%;1;25 г, туба алюминиевая;мазь для наружного применения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601026071690;22.330000;3 года;Нижфарм ОАО;Нижфарм ОАО;Нижфарм ОАО;Р N003210/01;08.09.2009 00:00:00
37281;Рифабутин;Рифабутин;783450;150 мг;30;5 шт., упаковка контурная ячейковая  (6), пачка картонная;капсула;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607027761820;3618.970000;3 года;Озон ООО;Озон ООО;Озон ООО;ЛСР-003091/08;24.04.2008 00:00:00
37284;Диосмектит;Смектит диоктаэдрический;710970;3 г;10;пакетик  (10), пачка картонная;порошок для приготовления суспензии для приема внутрь;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603569720424;70.060000;4 года;Фармакор продакшн ООО;Фармакор продакшн ООО;Фармакор продакшн ООО;ЛСР-000247/08;28.01.2008 00:00:00
37293;Акридилол;Карведилол;690210;6.25 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4601969005455;185.850000;3 года;Акрихин ХФК ОАО;Акрихин ХФК ОАО;Акрихин ХФК ОАО;ЛС-002383;22.12.2006 00:00:00
37299;Верапамил;Верапамил;600282;80 мг;50;50 шт., флакон темного стекла, пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;5310001059279;52.130000;5 лет;Алкалоид АО;Алкалоид АО;Алкалоид АО;П N011991/01;05.09.2007 00:00:00
37309;Тулип;Аторвастатин;880913;10 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;3838957886609;433.490000;2 года;Лек д.д.;Лек д.д.;Лек д.д.;П N015755/01;02.06.2009 00:00:00
37330;Цепрова;Ципрофлоксацин;889675;500 мг;10;10 шт., упаковка контурная ячейковая , пачка картонная;таблетка покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;8901107000479;46.170000;3 года;Люпин Лтд;Люпин Лтд;Люпин Лтд;П N015058/02;16.06.2009 00:00:00
37345;Бисакодил-ФПО;Бисакодил;825851;5 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка покрытая кишечнорастворимой оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4605077001897;11.770000;2 года;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Оболенское фармацевтическое предприятие ЗАО;Р N001541/01;25.06.2008 00:00:00
37380;Рибавирин;Рибавирин;672798;200 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4606486001522;467.320000;2 года;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;Канонфарма продакшн ЗАО;ЛС-002521;29.12.2006 00:00:00
37394;Пирантел;Пирантел;467882;250 мг;3;3 шт., упаковка контурная безъячейковая, пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;5903060001510;25.730000;5 лет;Польфарма фармацевтический завод АО;Польфарма фармацевтический завод АО;Польфарма фармацевтический завод АО;П N014859/01;25.08.2009 00:00:00
37423;Гентамицин;Гентамицин;568203;40 мг/мл;10;2 мл, ампула  (10);раствор для внутривенного и внутримышечного введения;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4810201001555;26.780000;2 года;Борисовский завод медицинских препаратов РУП;Борисовский завод медицинских препаратов РУП;Борисовский завод медицинских препаратов РУП;П N012010/01;19.12.2007 00:00:00
37424;Индапамид МВ;Индапамид;610670;1.5 мг;30;10 шт., упаковка контурная ячейковая  (3), пачка картонная;таблетка с модифицированным высвобождением покрытая оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607018261933;73.790000;3 года;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;Макиз-Фарма ЗАО;ЛС-000610;05.08.2005 00:00:00
37442;Тригексифенидил;Тригексифенидил;689918;2 мг;50;10 шт., упаковка контурная ячейковая  (5), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4602676005813;65.600000;5 лет;Московский эндокринный завод ФГУП;Московский эндокринный завод ФГУП;Московский эндокринный завод ФГУП;ЛСР-005076/09;26.06.2009 00:00:00
37486;Новокаин;Прокаин;517269;0.5%;10;2 мл, ампула  (10);раствор для инъекций;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4810201000268;12.310000;3 года;Борисовский завод медицинских препаратов РУП;Борисовский завод медицинских препаратов РУП;Борисовский завод медицинских препаратов РУП;П N015889/01;12.08.2009 00:00:00
37505;Рибамидил;Рибавирин;811094;200 мг;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4606610000575;324.000000;3 года;Биофарма ЗАО;Биофарма ЗАО;Биофарма ЗАО;Р N001844/01;20.06.2008 00:00:00
37510;Лаквель;Кветиапин;762477;100 мг;60;10 шт., упаковка контурная ячейковая  (6), пачка картонная;таблетка покрытая пленочной оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;3850114221313;1400.000000;2 года;Плива Хрватска д.о.о.;Плива Хрватска д.о.о.;Плива Хрватска д.о.о.;ЛСР-009007/09;10.11.2009 00:00:00
37519;Панкреатин;Панкреатин;594443;25 ЕД;60;60 шт., банка темного стекла, пачка картонная;таблетка покрытая кишечнорастворимой оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603276003209;41.750000;2 года;Ирбитский химико-фармацевтический завод ОАО;Ирбитский химико-фармацевтический завод ОАО;Ирбитский химико-фармацевтический завод ОАО;ЛСР-002153/08;28.03.2008 00:00:00
37527;Панкреатин;Панкреатин;530629;25 ЕД;20;10 шт., упаковка контурная ячейковая  (2), пачка картонная;таблетка покрытая кишечнорастворимой оболочкой;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4607003666170;48.280000;2 года;СТИ-Мед-Сорб ОАО;СТИ-Мед-Сорб ОАО;СТИ-Мед-Сорб ОАО;ЛСР-009899/08;11.12.2008 00:00:00
37530;Раствор для перитонеального диализа с глюкозой и низким содержанием кальция;Растворы для перитонеального диализа;810715;~;4;2500 мл, 2.5 л /комплект: контейнер дренажный пустой, трубка соединительная (в сборе)/, контейнер Клиа-Флекс пластиковый;раствор для перитонеального диализа [с декстрозой 13.6 г/л];;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603212002938;1793.760000;3 года;Биеффе Медитал СпА;Биеффе Медитал СпА;Биеффе Медитал СпА;П N013325/01;17.03.2008 00:00:00
37555;Фентанил;Фентанил;855570;50 мкг/мл;5;1 мл, ампула  (5);раствор для инъекций;;2018;2;;0.00;0.00;0.00;0.00;0.00;;;;4603730000836;61.800000;2 года;Государственный завод медицинских препаратов ФГУП;Государственный завод медицинских препаратов ФГУП;Государственный завод медицинских препаратов ФГУП;Р N002020/01;10.12.2008 00:00:00
